days,close_0,ret_0,volume_0,close_1,ret_1,volume_1,close_2,ret_2,volume_2,close_3,ret_3,volume_3,close_4,ret_4,volume_4,close_5,ret_5,volume_5,close_6,ret_6,volume_6,close_7,ret_7,volume_7
8145,32.971684100824554,-0.1546118051638282,313.0,-6.756497582460242,-1.4028535348501976,2308.0,44.78518508384568,0.09902557114055809,673.0,-2.3029424551440405,-1.470627936624254,2177.0,-6.597544872026265,-0.3802340618676564,240.0,-1.2693396659401706,0.17770755323162588,1022.0,52.480077288871904,-0.21245028821900516,766.0,-1.0364632674547036,0.8959258752574358,1833.0
8149,32.30918681574091,-0.6624972850836484,649.0,-7.326558345331912,-0.5700607628716698,2560.0,44.48174742765251,-0.30343765619317153,795.0,-2.960033869653696,-0.6570914145096556,1017.0,-6.905838521982341,-0.3082936499560762,846.0,-1.8786227055914593,-0.6092830396512887,1918.0,51.44028328797135,-1.0397940009005575,951.0,-1.4932097920957494,-0.45674652464104576,2991.0
8150,32.632229408057675,0.32304259231676846,396.0,-6.592913152894846,0.7336451924370655,1756.0,44.92154887190511,0.43980144425259965,781.0,-1.6395964829708063,1.3204373866828896,497.0,-6.751691697004303,0.1541468249780381,1024.0,-2.5386793318803553,-0.6600566262888962,2315.0,52.568624458776604,1.128341170805255,906.0,-2.5121058855257745,-1.018896093430025,2274.0
8151,33.37462241924337,0.7423930111856964,1074.0,-7.172890186500332,-0.5799770336054857,2216.0,44.84529082153814,-0.07625805036696734,962.0,-1.5832768171696068,0.05631966580119961,53.0,-6.782519101904225,-0.030827404899921727,505.0,-2.487905745242748,0.05077358663760739,1547.0,51.94943959818494,-0.6191848605916626,1077.0,-2.213463927106629,0.2986419584191453,1854.0
8152,34.86501972590839,1.4903973066650167,842.0,-7.782612250358091,-0.6097220638577591,1887.0,45.87087648473284,1.0255856631946965,840.0,-1.5832768171696068,0.0,1833.0,-6.093991390080492,0.6885277118237326,556.0,-2.741773678430785,-0.25386793318803696,1360.0,52.91919123083529,0.9697516326503536,938.0,-2.4242700154024965,-0.21080608829586728,1795.0
8155,35.719701026843,0.8546813009346117,657.0,-8.308061140775111,-0.5254488904170205,1681.0,46.39725742781971,0.5263809430868677,817.0,-3.022612867589973,-1.4393360504203663,1625.0,-5.374636273356838,0.7193551167236544,217.0,-3.833405791139344,-1.0916321127085589,2106.0,53.32394141732869,0.40475018649340483,866.0,-3.6891065451777,-1.2648365297752036,2229.0
8156,35.73568149003975,0.015980463196755747,584.0,-7.926367920405029,0.3816932203700826,1726.0,46.601846205727085,0.20458877790737723,783.0,-2.966293201788773,0.05631966580119961,2231.0,-4.048959857875909,1.325676415480929,251.0,-3.5287642713136997,0.30464151982564436,1678.0,53.38770796357053,0.06376654624183604,895.0,-3.3553302387092434,0.3337763064684565,2279.0
8157,35.61562043478957,-0.12006105525018267,591.0,-8.317973629559752,-0.3916057091547245,1712.0,46.98427849674515,0.3824322910180662,834.0,-2.978807091587429,-0.012513889798655831,1914.0,-2.743839945900809,1.3051199119750998,349.0,-4.087273724327381,-0.5585094530136814,1796.0,54.16582115990623,0.7781131963357049,930.0,-2.670210451747675,0.6851197869615686,2180.0
8158,35.05331900647915,-0.5623014283104224,529.0,-7.713213483018075,0.6047601465416774,1631.0,46.478988647102526,-0.5052898496426215,888.0,-1.7522405890447044,1.2265665025427246,1886.0,-2.4663737008446547,0.2774662450561545,229.0,-4.29036807087781,-0.20309434655042957,2375.0,54.100400958765015,-0.06542020114121319,950.0,-2.178329579057318,0.49188087269035696,2597.0
8159,34.924186979026764,-0.12913202745238236,449.0,-7.817311634028098,-0.10409815101002251,1380.0,46.47713552691842,-0.0018531201841082766,740.0,-2.290428565345384,-0.53818797630068,1125.0,-1.9525444172655746,0.5138292835790801,251.0,-4.138047310964988,0.15232075991282218,1402.0,54.386531656012856,0.28613069724783885,797.0,-2.652643277723019,-0.47431369866570133,2734.0
8162,35.31805762018425,0.39387064115748216,375.0,-7.6388565803111526,0.1784550537169454,1349.0,46.617115054127765,0.139979527209351,744.0,-2.290428565345384,0.0,1157.0,-2.8260512592064817,-0.8735068419409072,388.0,-5.204292630354743,-1.0662453193897552,2330.0,54.484661957724676,0.09813030171181979,828.0,-3.0391211062654424,-0.3864778285424233,2040.0
8163,35.72099593860307,0.40293831841881655,317.0,-7.509971534415764,0.1288850458953881,1267.0,46.97633593744442,0.35922088331665414,767.0,-2.653393437635889,-0.36296487229050495,1352.0,-2.9904738858178272,-0.16442262661134535,222.0,-4.163434104283792,1.0408585260709515,2450.0,54.64491321738822,0.16025125966354395,872.0,-1.633747184292994,1.4053739219724484,3100.0
8164,35.52535552978439,-0.1956404088186741,524.0,-7.371173999735734,0.13879753468003003,1513.0,46.94173430498348,-0.03460163246094268,834.0,-2.115205461335209,0.53818797630068,1565.0,-2.8774351676122327,0.11303871820559441,332.0,-4.315754864196614,-0.15232075991282218,1799.0,54.27418798877566,-0.3707252286125618,970.0,-2.898583714068198,-1.2648365297752036,2639.0
8165,36.273794757457935,0.7484392276735412,467.0,-7.247247089207254,0.1239269105284802,1112.0,47.597773326812394,0.6560390218289179,833.0,-2.615842219296924,-0.5006367579617148,1242.0,-3.5248547726635215,-0.6474196050512889,244.0,-5.6358681167744065,-1.3201132525777923,2825.0,54.50085164252004,0.22666365374438344,899.0,-3.9526141555475345,-1.0540304414793364,2421.0
